step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
542,0.31979,0.91905,,
543,0.32187,0.88317,,
544,0.27996,0.91162,,
545,0.40702,0.86455,,
546,0.52265,0.84848,,
547,0.46546,0.89349,,
548,0.931,0.77291,,
549,0.31065,0.89922,,
550,0.18667,0.94638,,
551,0.38743,0.86435,,
552,0.36736,0.86992,,
553,0.32942,0.88356,,
554,0.18131,0.94269,,
555,0.76423,0.79394,,
556,0.2879,0.89206,,
557,0.30601,0.90213,,
558,0.39691,0.86466,,
559,0.46574,0.84161,,
560,0.22877,0.92462,,
561,0.60151,0.80858,,
562,0.36264,0.87709,,
563,0.26903,0.90984,,
564,0.31885,0.87826,,
565,0.83164,0.79487,,
566,0.43021,0.84375,,
567,0.33427,0.88272,,
568,0.32494,0.88921,,
569,0.36385,0.87037,,
570,0.2627,0.9186,,
571,0.32358,0.89432,,
572,0.57671,0.82692,,
573,0.51021,0.845,,
574,0.31766,0.88905,,
575,0.29481,0.89437,,
576,0.27605,0.88969,,
577,0.26416,0.91038,,
578,0.31575,0.89888,,
579,0.51154,0.82468,,
580,0.33891,0.87374,,
581,0.34188,0.88577,,
582,0.77071,0.77931,,
583,0.37085,0.87293,,
584,0.23941,0.93281,,
585,0.24242,0.90206,,
586,0.38632,0.88367,,
587,0.40429,0.87179,,
588,0.52556,0.82879,,
589,0.21742,0.92532,,
590,0.32042,0.87745,,
591,0.25436,0.92384,,
592,0.33349,0.88831,,
593,0.29284,0.89799,,
594,0.30318,0.89593,,
595,0.62043,0.80741,,
596,0.31232,0.88792,,
597,0.53491,0.82805,,
598,0.31298,0.90196,,
599,0.34974,0.883,,
600,0.36689,0.8968,0.73072,0.81055
601,0.30183,0.90433,,
602,0.27484,0.89729,,
603,0.34541,0.88305,,
604,0.39558,0.84399,,
605,0.32083,0.89562,,
606,0.41274,0.8689,,
607,0.34082,0.88718,,
608,0.29704,0.89266,,
609,0.19437,0.93548,,
610,0.2016,0.94242,,
611,0.29833,0.9078,,
612,0.29784,0.9,,
613,0.28756,0.89249,,
614,0.37092,0.87817,,
615,0.32921,0.88512,,
616,0.46027,0.85475,,
617,0.40918,0.84598,,
618,0.3938,0.87443,,
619,0.26338,0.91794,,
620,0.2595,0.90875,,
621,0.31727,0.88784,,
